question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,action,,What did the poor family await for?,the departure of the spirit,,,,,,
2,local,2,explicit,causal relationship,,Why did the man have less sorrow for his wife?,She would not remain long behind him.,,,,,,
3,local,2,explicit,action,,What did the man wish to hide his children away from?,bad examples which would have spoiled their innocence,,,,,,
4,local,3,explicit,action,,What did the mother and daughter do after the spirit did not answer?,lamented aloud,,,,,,
5,local,4,explicit,character,,Who was the eldest?,the girl,,,,,,
6,local,5,explicit,action,,How did the two brothers often amuse themselves?,playing ball,,,,,,
7,local,5,explicit,setting,,Where did the two brothers play and laugh with great spirit?,near a beautiful lake,,,,,,
8,local,6,explicit,character,,Who looked at the brothers as they played?,Mishosha,a wicked old Manito,,,,,
9,local,6,explicit,feeling,,How did Owasso feel when he saw the old man?,surprised,,,,,,
10,local,7,explicit,causal relationship,,Why did Owasso ask the Manito to take his little brother?,The little brother would starve.,,,,,,
11,local,7,explicit,character,,Who were seated within the magician's lodge?,the magician's two daughters,,,,,,
12,local,8,implicit,causal relationship,,Why did the Manito hurl his son-in-law headlong into the water?,to get rid of him,The old Manito wished him out of the way.,,,,,
13,local,8,explicit,setting,,Where did the Manito and Owasso reach?,a solitary bay in an island,,,,,,
14,local,9,explicit,action,,What did Owasso bade the fish to do?,swim towards the lodge,,,,,,
15,summary,"8,9",explicit,action,,What did the Manito do after throwing Owasso into the water?,went fishing,,,,,,
16,local,9,explicit,causal relationship,,Why did Owasso tell the sturgeon not to be angry with him?,The sturgeon was created to be meat for man.,,,,,,
17,local,10,explicit,causal relationship,,Why was the magician beginning to feel uneasy?,He was outwitted.,,,,,,
18,local,11,explicit,action,,What did Owasso see in his flight over the lake?,"the Manito lying on his back in the boat, taking a nap",,,,,,
19,local,11,explicit,causal relationship,,Why did the birds obey Owasso's words?,They saw nothing unreasonable in his request.,,,,,,
20,local,12,explicit,action,,How did Owasso get feathers to ornament his son's head?,killed two or three gulls,,,,,,
21,local,13,explicit,action,,What did Mishosha cry out to the tree?,for it to stretch itself up and be very tall,,,,,,
