question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6,comments
1,local,1,action,,What hard work did the man do to earn his daily rice?,explicit,cut grass for the farmers around,,,,,,,
2,local,1,action,,What did his wife do when he was gone?,explicit,the work of the house and worked in their own little rice field,,,,,,,
3,local,1,causal relationship,,Why did the old man and old woman have to work hard to earn their daily rice?,explicit,They were peasants.,,,,,,,
4,local,2,setting,,Where did the old woman take some clothes to wash?,explicit,the river,,,,,,,
5,local,2,setting,,How did the country look?,explicit,beautiful,,,,,,,
6,local,2,setting,,Where did the man cut grass?,explicit,the hills,,,,,,,
7,local,3,causal relationship,,Why was the old couple very happy that morning?,explicit,For some reason they could not explain,,,,,,,
8,local,4,action,,What did the woman do when she found a nice spot by the river?,explicit,put her basket down,set to work to wash the clothes,,,,,,
9,local,4,action,,How did the woman wash the clothes?,explicit,took them out one by one,washed them in the river,rubbed them on the stones,,,,,
10,local,4,causal relationship,,How could the woman see tiny fish and pebbles in the water?,explicit,The water was crystal clear.,,,,,,,
11,local,5,feeling,,How did the woman feel when she saw the peach?,implicit,surprised,shocked,curious,,,,,
12,local,5,character,,What was special about the peach?,implicit,It was unusually large.,It was very big.,,,,,,
13,summary,"5,6",causal relationship,,Why did the woman think the peach would be delicious?,implicit,It was unusually large.,It was very big.,,,,,,
14,local,5,prediction,action,What will the woman do after she sees the peach?,explicit,try and get it,,,,,,,
15,local,6,causal relationship,,Why was the woman unable to get the peach?,explicit,It was quite out of her reach.,,,,,,,
16,local,6,action,,How did the woman try to get the peach?,explicit,stretched out her arm,looked for a stick,,,,,,
17,local,7,action,,What did she remember?,explicit,an old charm-verse,,,,,,,
18,local,7,action,,What did the woman do as she sang?,explicit,clapped her hands,,,,,,,
19,local,8,outcome resolution,,What happened as the woman repeated the song?,explicit,The peach began to come nearer and nearer the bank.,,,,,,,
20,local,8,feeling,,How did the woman feel when she got the peach?,explicit,delighted,,,,,,,
21,local,8,action,,What did the woman stop doing because she got the peach?,explicit,her work,,,,,,,
22,local,8,setting,,Where did the woman hurry to?,explicit,homewards,,,,,,,
23,local,8,causal relationship,,What made the woman happy and excited?,implicit,She got the peach.,Her song worked.,,,,,,
24,local,9,action,,When did the man return?,explicit,as the sun was setting,,,,,,,
25,local,9,feeling,,How did the woman feel waiting for her husband to return?,implicit,impatient,excited,restless,,,,,
26,local,9,causal relationship,,Why could the woman hardly see her husband?,explicit,He was hidden by the big bundle of grass on his back.,,,,,,,
27,local,9,causal relationship,,Why was the man tired?,implicit,He worked hard.,He had a long day of work.,He spent the whole day working.,,,,,
28,local,9,causal relationship,,Why did the man use the scythe for a walking stick?,explicit,He seemed very tired.,,,,,,,
29,local,10,causal relationship,,Why was the woman so impatient?,implicit,She wanted to show her husband the peach.,She wanted to give the peach to her husband.,,,,,,
30,local,10,feeling,,How did the man feel about his wife's unusual eagerness?,implicit,surprised,confused,curious,,,,,
31,local,11,character,,How was the peach different from before?,explicit,It felt even heavier than before.,,,,,,,
32,local,11,prediction,action,What will the old man and woman do to the peach?,explicit,eat it,,,,,,,
33,local,11,causal relationship,,Why did the old man want to eat the peach?,explicit,He was hungry.,,,,,,,
34,local,12,character,,Who stepped out of the peach?,explicit,a beautiful child,,,,,,,
35,local,12,feeling,,How did the old man and his wife feel when they saw the child?,explicit,astonished,,,,,,,
36,local,12,causal relationship,,Why did the old man and woman fall to the ground?,explicit,They were astonished at what they saw.,Out stepped a beautiful child.,,,,,,
37,local,12,causal relationship,,Why was the beautiful child sent to the couple?,explicit,to be the son of their old age,,,,,,,
38,local,12,action,,Who sent the child to the couple?,explicit,heaven,,,,,,,
39,local,12,feeling,,How had the couple felt about having no child?,implicit,sad,upset,,,,,,
