question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,causal relationship,,What made the girl quietly resume to bed?,saw her little brother lay smiling in his dreams,,,,,,
2,local,1,explicit,character,,Who was the first to wake up?,the girl,,,,,,
3,local,2,explicit,action,,What did the girl hang around her brother's neck?,a small shell,,,,,,
4,local,2,explicit,action,,What was the first bird the boy killed?,a tom-tit,,,,,,
5,local,4,explicit,action,,What did the Dais-Imid see upon the ice of the lake?,a man of giant height employed killing beavers.,,,,,,
6,local,5,explicit,action,,What did Dais-Imid use to cut off the tail of one of the beavers?,his magic shell,,,,,,
7,local,7,explicit,causal relationship,,Why was the giant vexed?,could not get a sight of his enemy,,,,,,
8,local,9,explicit,character,,Who was the giant?,Manabozho,,,,,,
9,local,12,explicit,setting,,Where does the sister wish to dwell?,the East,the place of the breaking of daylight,,,,,
10,local,12,explicit,action,,What did the Dais-Imid say he would be called?,Puck-Ininee,the Little Wild Man of the Mountains,,,,,
11,local,15,explicit,action,,What did the sister's name change to?,Morning Star,,,,,,
12,local,3,explicit,action,,What did Dais-Imid and his sister have for their evening meal on the third day?,a partridge,,,,,,
13,local,13,explicit,character,,Who was the first cousin of Manabozho?,the giant manito,,,,,,
14,local,13,explicit,action,,How did Dais-Imid esape the kettle?,bailed the water to the bottom and leaped out of the kettle,,,,,,
15,summary,"2,3",explicit,action,,What did Dais-Imid do every day?,hunt,,,,,,
16,local,8,explicit,causal relationship,,Why couldn't the giant find tracks?,Dais-Imid had stepped too lightly to leave the slightest mark behind.,,,,,,
17,local,12,explicit,action,,What did the sister tell Dais-Imid to think of whenever he saw the clouds?,her painting her face,,,,,,
18,local,3,explicit,outcome resolution,,What happened to Dais-Imid after he entered the lodge?,a light beamed about his head and filled the space with a strange splendor,,,,,,
19,local,6,explicit,setting,,Where was the giant taking the beavers from?,a beaver-dam that belonged to the little shell-man and his sister,,,,,,
20,local,10,explicit,feeling,,How did Manabozho feel about pulling his nose to no purpose?,satisfied,,,,,,
21,local,13,implicit,causal relationship,,Why did a giant manito throw Dais-Imid into the kettle?,wanted revenge for Manabozho,did not like Dais-Imid,wanted to kill Dais-Imid,,,,
22,summary,"9,10",implicit,prediction,feeling,How will Manabozho feel about not being able to catch the little man?,angry,humiliated,confused,,,,
23,local,8,implicit,causal relationship,,Why did the giant go to the beaver-dam very early?,so that his beaver tails would not be stolen,to trick the thief,to catch beaver tails,,,,
24,local,14,implicit,causal relationship,,Why did Dais-Imid say the giant manito that lived deep in the earth was wicked?,The giant manito tried to drown him in the kettle.,It lived below the earth.,The giant manito was related to Manabozho.,,,,
25,local,12,implicit,prediction,causal relationship,Why will Dais-Imid call himself the Little Wild Man of the Mountains?,He lives on the mountains and rocks.,It is his realm.,He is an expert thief.,,,,
26,local,8,implicit,action,,How did Dais-Imid not leave any tracks behind?,tiptoed,was small,hid quickly,,,,
27,local,9,implicit,causal relationship,,Why did Dais-Imid want Manabozho to see him?,to humiliate him,to reveal his abilities,to take pride in his theft,,,,
